 E (mV), i (mA), E (mV)-20, i (mA)-20, E (mV)-40, i (mA)-40, E (mV)-60, i (mA)-60, E (mV)-80, i (mA)-80, E (mV)-100, i (mA)-100, E (mV)-150, i (mA)-150, E (mV)-200, i (mA)-200, E (mV)-250, i (mA)-250, E (mV)-300, i (mA)-300, E (mV)-350, i (mA)-350, E (mV)-400, i (mA)-400, E (mV)-450, i (mA)-450, E (mV)-500, i (mA)-500, E (mV)-600, i (mA)-600, E (mV)-700, i (mA)-700, E (mV)-800, i (mA)-800, E (mV)-900, i (mA)-900, E (mV)-1000, i (mA)-1000
504.46,7.50E-02,504460,7.50E+04,504460000,7.50E+10,5.0446E+11,7.50E+16,5.0446E+14,7.50E+22,5.0446E+17,7.50E+28,5.0446E+20,7.50E+34,5.0446E+23,7.50E+40,5.0446E+26,7.50E+46,5.0446E+29,7.50E+52,5.0446E+32,7.50E+58,5.0446E+35,7.50E+64,5.0446E+38,7.50E+70,5.0446E+41,7.50E+76,5.0446E+44,7.50E+82,5.0446E+47,7.50E+88,5.0446E+50,7.50E+94,5.0446E+53,7.50E+100,5.0446E+56,7.50E+106
514.53,7.67E-02,514530,7.67E+04,514530000,7.67E+10,5.1453E+11,7.67E+16,5.1453E+14,7.67E+22,5.1453E+17,7.67E+28,5.1453E+20,7.67E+34,5.1453E+23,7.67E+40,5.1453E+26,7.67E+46,5.1453E+29,7.67E+52,5.1453E+32,7.67E+58,5.1453E+35,7.67E+64,5.1453E+38,7.67E+70,5.1453E+41,7.67E+76,5.1453E+44,7.67E+82,5.1453E+47,7.67E+88,5.1453E+50,7.67E+94,5.1453E+53,7.67E+100,5.1453E+56,7.67E+106
524.29,7.85E-02,524290,7.85E+04,524290000,7.85E+10,5.2429E+11,7.85E+16,5.2429E+14,7.85E+22,5.2429E+17,7.85E+28,5.2429E+20,7.85E+34,5.2429E+23,7.85E+40,5.2429E+26,7.85E+46,5.2429E+29,7.85E+52,5.2429E+32,7.85E+58,5.2429E+35,7.85E+64,5.2429E+38,7.85E+70,5.2429E+41,7.85E+76,5.2429E+44,7.85E+82,5.2429E+47,7.85E+88,5.2429E+50,7.85E+94,5.2429E+53,7.85E+100,5.2429E+56,7.85E+106
534.36,8.07E-02,534360,8.07E+04,534360000,8.07E+10,5.3436E+11,8.07E+16,5.3436E+14,8.07E+22,5.3436E+17,8.07E+28,5.3436E+20,8.07E+34,5.3436E+23,8.07E+40,5.3436E+26,8.07E+46,5.3436E+29,8.07E+52,5.3436E+32,8.07E+58,5.3436E+35,8.07E+64,5.3436E+38,8.07E+70,5.3436E+41,8.07E+76,5.3436E+44,8.07E+82,5.3436E+47,8.07E+88,5.3436E+50,8.07E+94,5.3436E+53,8.07E+100,5.3436E+56,8.07E+106
544.43,8.28E-02,544430,8.28E+04,544430000,8.28E+10,5.4443E+11,8.28E+16,5.4443E+14,8.28E+22,5.4443E+17,8.28E+28,5.4443E+20,8.28E+34,5.4443E+23,8.28E+40,5.4443E+26,8.28E+46,5.4443E+29,8.28E+52,5.4443E+32,8.28E+58,5.4443E+35,8.28E+64,5.4443E+38,8.28E+70,5.4443E+41,8.28E+76,5.4443E+44,8.28E+82,5.4443E+47,8.28E+88,5.4443E+50,8.28E+94,5.4443E+53,8.28E+100,5.4443E+56,8.28E+106
554.2,8.50E-02,554200,8.50E+04,554200000,8.50E+10,5.542E+11,8.50E+16,5.542E+14,8.50E+22,5.542E+17,8.50E+28,5.542E+20,8.50E+34,5.542E+23,8.50E+40,5.542E+26,8.50E+46,5.542E+29,8.50E+52,5.542E+32,8.50E+58,5.542E+35,8.50E+64,5.542E+38,8.50E+70,5.542E+41,8.50E+76,5.542E+44,8.50E+82,5.542E+47,8.50E+88,5.542E+50,8.50E+94,5.542E+53,8.50E+100,5.542E+56,8.50E+106
564.27,8.74E-02,564270,8.74E+04,564270000,8.74E+10,5.6427E+11,8.74E+16,5.6427E+14,8.74E+22,5.6427E+17,8.74E+28,5.6427E+20,8.74E+34,5.6427E+23,8.74E+40,5.6427E+26,8.74E+46,5.6427E+29,8.74E+52,5.6427E+32,8.74E+58,5.6427E+35,8.74E+64,5.6427E+38,8.74E+70,5.6427E+41,8.74E+76,5.6427E+44,8.74E+82,5.6427E+47,8.74E+88,5.6427E+50,8.74E+94,5.6427E+53,8.74E+100,5.6427E+56,8.74E+106
574.34,9.01E-02,574340,9.01E+04,574340000,9.01E+10,5.7434E+11,9.01E+16,5.7434E+14,9.01E+22,5.7434E+17,9.01E+28,5.7434E+20,9.01E+34,5.7434E+23,9.01E+40,5.7434E+26,9.01E+46,5.7434E+29,9.01E+52,5.7434E+32,9.01E+58,5.7434E+35,9.01E+64,5.7434E+38,9.01E+70,5.7434E+41,9.01E+76,5.7434E+44,9.01E+82,5.7434E+47,9.01E+88,5.7434E+50,9.01E+94,5.7434E+53,9.01E+100,5.7434E+56,9.01E+106
584.11,9.31E-02,584110,9.31E+04,584110000,9.31E+10,5.8411E+11,9.31E+16,5.8411E+14,9.31E+22,5.8411E+17,9.31E+28,5.8411E+20,9.31E+34,5.8411E+23,9.31E+40,5.8411E+26,9.31E+46,5.8411E+29,9.31E+52,5.8411E+32,9.31E+58,5.8411E+35,9.31E+64,5.8411E+38,9.31E+70,5.8411E+41,9.31E+76,5.8411E+44,9.31E+82,5.8411E+47,9.31E+88,5.8411E+50,9.31E+94,5.8411E+53,9.31E+100,5.8411E+56,9.31E+106
594.18,9.62E-02,594180,9.62E+04,594180000,9.62E+10,5.9418E+11,9.62E+16,5.9418E+14,9.62E+22,5.9418E+17,9.62E+28,5.9418E+20,9.62E+34,5.9418E+23,9.62E+40,5.9418E+26,9.62E+46,5.9418E+29,9.62E+52,5.9418E+32,9.62E+58,5.9418E+35,9.62E+64,5.9418E+38,9.62E+70,5.9418E+41,9.62E+76,5.9418E+44,9.62E+82,5.9418E+47,9.62E+88,5.9418E+50,9.62E+94,5.9418E+53,9.62E+100,5.9418E+56,9.62E+106
604.25,9.95E-02,604250,9.95E+04,604250000,9.95E+10,6.0425E+11,9.95E+16,6.0425E+14,9.95E+22,6.0425E+17,9.95E+28,6.0425E+20,9.95E+34,6.0425E+23,9.95E+40,6.0425E+26,9.95E+46,6.0425E+29,9.95E+52,6.0425E+32,9.95E+58,6.0425E+35,9.95E+64,6.0425E+38,9.95E+70,6.0425E+41,9.95E+76,6.0425E+44,9.95E+82,6.0425E+47,9.95E+88,6.0425E+50,9.95E+94,6.0425E+53,9.95E+100,6.0425E+56,9.95E+106
614.01,1.03E-01,614010,1.03E+05,614010000,1.03E+11,6.1401E+11,1.03E+17,6.1401E+14,1.03E+23,6.1401E+17,1.03E+29,6.1401E+20,1.03E+35,6.1401E+23,1.03E+41,6.1401E+26,1.03E+47,6.1401E+29,1.03E+53,6.1401E+32,1.03E+59,6.1401E+35,1.03E+65,6.1401E+38,1.03E+71,6.1401E+41,1.03E+77,6.1401E+44,1.03E+83,6.1401E+47,1.03E+89,6.1401E+50,1.03E+95,6.1401E+53,1.03E+101,6.1401E+56,1.03E+107
624.08,1.07E-01,624080,1.07E+05,624080000,1.07E+11,6.2408E+11,1.07E+17,6.2408E+14,1.07E+23,6.2408E+17,1.07E+29,6.2408E+20,1.07E+35,6.2408E+23,1.07E+41,6.2408E+26,1.07E+47,6.2408E+29,1.07E+53,6.2408E+32,1.07E+59,6.2408E+35,1.07E+65,6.2408E+38,1.07E+71,6.2408E+41,1.07E+77,6.2408E+44,1.07E+83,6.2408E+47,1.07E+89,6.2408E+50,1.07E+95,6.2408E+53,1.07E+101,6.2408E+56,1.07E+107
634.16,1.11E-01,634160,1.11E+05,634160000,1.11E+11,6.3416E+11,1.11E+17,6.3416E+14,1.11E+23,6.3416E+17,1.11E+29,6.3416E+20,1.11E+35,6.3416E+23,1.11E+41,6.3416E+26,1.11E+47,6.3416E+29,1.11E+53,6.3416E+32,1.11E+59,6.3416E+35,1.11E+65,6.3416E+38,1.11E+71,6.3416E+41,1.11E+77,6.3416E+44,1.11E+83,6.3416E+47,1.11E+89,6.3416E+50,1.11E+95,6.3416E+53,1.11E+101,6.3416E+56,1.11E+107
643.92,1.15E-01,643920,1.15E+05,643920000,1.15E+11,6.4392E+11,1.15E+17,6.4392E+14,1.15E+23,6.4392E+17,1.15E+29,6.4392E+20,1.15E+35,6.4392E+23,1.15E+41,6.4392E+26,1.15E+47,6.4392E+29,1.15E+53,6.4392E+32,1.15E+59,6.4392E+35,1.15E+65,6.4392E+38,1.15E+71,6.4392E+41,1.15E+77,6.4392E+44,1.15E+83,6.4392E+47,1.15E+89,6.4392E+50,1.15E+95,6.4392E+53,1.15E+101,6.4392E+56,1.15E+107
653.99,1.19E-01,653990,1.19E+05,653990000,1.19E+11,6.5399E+11,1.19E+17,6.5399E+14,1.19E+23,6.5399E+17,1.19E+29,6.5399E+20,1.19E+35,6.5399E+23,1.19E+41,6.5399E+26,1.19E+47,6.5399E+29,1.19E+53,6.5399E+32,1.19E+59,6.5399E+35,1.19E+65,6.5399E+38,1.19E+71,6.5399E+41,1.19E+77,6.5399E+44,1.19E+83,6.5399E+47,1.19E+89,6.5399E+50,1.19E+95,6.5399E+53,1.19E+101,6.5399E+56,1.19E+107
664.06,1.24E-01,664060,1.24E+05,664060000,1.24E+11,6.6406E+11,1.24E+17,6.6406E+14,1.24E+23,6.6406E+17,1.24E+29,6.6406E+20,1.24E+35,6.6406E+23,1.24E+41,6.6406E+26,1.24E+47,6.6406E+29,1.24E+53,6.6406E+32,1.24E+59,6.6406E+35,1.24E+65,6.6406E+38,1.24E+71,6.6406E+41,1.24E+77,6.6406E+44,1.24E+83,6.6406E+47,1.24E+89,6.6406E+50,1.24E+95,6.6406E+53,1.24E+101,6.6406E+56,1.24E+107
673.83,1.29E-01,673830,1.29E+05,673830000,1.29E+11,6.7383E+11,1.29E+17,6.7383E+14,1.29E+23,6.7383E+17,1.29E+29,6.7383E+20,1.29E+35,6.7383E+23,1.29E+41,6.7383E+26,1.29E+47,6.7383E+29,1.29E+53,6.7383E+32,1.29E+59,6.7383E+35,1.29E+65,6.7383E+38,1.29E+71,6.7383E+41,1.29E+77,6.7383E+44,1.29E+83,6.7383E+47,1.29E+89,6.7383E+50,1.29E+95,6.7383E+53,1.29E+101,6.7383E+56,1.29E+107
683.9,1.34E-01,683900,1.34E+05,683900000,1.34E+11,6.839E+11,1.34E+17,6.839E+14,1.34E+23,6.839E+17,1.34E+29,6.839E+20,1.34E+35,6.839E+23,1.34E+41,6.839E+26,1.34E+47,6.839E+29,1.34E+53,6.839E+32,1.34E+59,6.839E+35,1.34E+65,6.839E+38,1.34E+71,6.839E+41,1.34E+77,6.839E+44,1.34E+83,6.839E+47,1.34E+89,6.839E+50,1.34E+95,6.839E+53,1.34E+101,6.839E+56,1.34E+107
693.97,1.39E-01,693970,1.39E+05,693970000,1.39E+11,6.9397E+11,1.39E+17,6.9397E+14,1.39E+23,6.9397E+17,1.39E+29,6.9397E+20,1.39E+35,6.9397E+23,1.39E+41,6.9397E+26,1.39E+47,6.9397E+29,1.39E+53,6.9397E+32,1.39E+59,6.9397E+35,1.39E+65,6.9397E+38,1.39E+71,6.9397E+41,1.39E+77,6.9397E+44,1.39E+83,6.9397E+47,1.39E+89,6.9397E+50,1.39E+95,6.9397E+53,1.39E+101,6.9397E+56,1.39E+107
703.74,1.44E-01,703740,1.44E+05,703740000,1.44E+11,7.0374E+11,1.44E+17,7.0374E+14,1.44E+23,7.0374E+17,1.44E+29,7.0374E+20,1.44E+35,7.0374E+23,1.44E+41,7.0374E+26,1.44E+47,7.0374E+29,1.44E+53,7.0374E+32,1.44E+59,7.0374E+35,1.44E+65,7.0374E+38,1.44E+71,7.0374E+41,1.44E+77,7.0374E+44,1.44E+83,7.0374E+47,1.44E+89,7.0374E+50,1.44E+95,7.0374E+53,1.44E+101,7.0374E+56,1.44E+107
713.81,1.50E-01,713810,1.50E+05,713810000,1.50E+11,7.1381E+11,1.50E+17,7.1381E+14,1.50E+23,7.1381E+17,1.50E+29,7.1381E+20,1.50E+35,7.1381E+23,1.50E+41,7.1381E+26,1.50E+47,7.1381E+29,1.50E+53,7.1381E+32,1.50E+59,7.1381E+35,1.50E+65,7.1381E+38,1.50E+71,7.1381E+41,1.50E+77,7.1381E+44,1.50E+83,7.1381E+47,1.50E+89,7.1381E+50,1.50E+95,7.1381E+53,1.50E+101,7.1381E+56,1.50E+107
723.57,1.55E-01,723570,1.55E+05,723570000,1.55E+11,7.2357E+11,1.55E+17,7.2357E+14,1.55E+23,7.2357E+17,1.55E+29,7.2357E+20,1.55E+35,7.2357E+23,1.55E+41,7.2357E+26,1.55E+47,7.2357E+29,1.55E+53,7.2357E+32,1.55E+59,7.2357E+35,1.55E+65,7.2357E+38,1.55E+71,7.2357E+41,1.55E+77,7.2357E+44,1.55E+83,7.2357E+47,1.55E+89,7.2357E+50,1.55E+95,7.2357E+53,1.55E+101,7.2357E+56,1.55E+107
733.64,1.61E-01,733640,1.61E+05,733640000,1.61E+11,7.3364E+11,1.61E+17,7.3364E+14,1.61E+23,7.3364E+17,1.61E+29,7.3364E+20,1.61E+35,7.3364E+23,1.61E+41,7.3364E+26,1.61E+47,7.3364E+29,1.61E+53,7.3364E+32,1.61E+59,7.3364E+35,1.61E+65,7.3364E+38,1.61E+71,7.3364E+41,1.61E+77,7.3364E+44,1.61E+83,7.3364E+47,1.61E+89,7.3364E+50,1.61E+95,7.3364E+53,1.61E+101,7.3364E+56,1.61E+107
743.71,1.67E-01,743710,1.67E+05,743710000,1.67E+11,7.4371E+11,1.67E+17,7.4371E+14,1.67E+23,7.4371E+17,1.67E+29,7.4371E+20,1.67E+35,7.4371E+23,1.67E+41,7.4371E+26,1.67E+47,7.4371E+29,1.67E+53,7.4371E+32,1.67E+59,7.4371E+35,1.67E+65,7.4371E+38,1.67E+71,7.4371E+41,1.67E+77,7.4371E+44,1.67E+83,7.4371E+47,1.67E+89,7.4371E+50,1.67E+95,7.4371E+53,1.67E+101,7.4371E+56,1.67E+107
753.48,1.72E-01,753480,1.72E+05,753480000,1.72E+11,7.5348E+11,1.72E+17,7.5348E+14,1.72E+23,7.5348E+17,1.72E+29,7.5348E+20,1.72E+35,7.5348E+23,1.72E+41,7.5348E+26,1.72E+47,7.5348E+29,1.72E+53,7.5348E+32,1.72E+59,7.5348E+35,1.72E+65,7.5348E+38,1.72E+71,7.5348E+41,1.72E+77,7.5348E+44,1.72E+83,7.5348E+47,1.72E+89,7.5348E+50,1.72E+95,7.5348E+53,1.72E+101,7.5348E+56,1.72E+107
763.55,1.79E-01,763550,1.79E+05,763550000,1.79E+11,7.6355E+11,1.79E+17,7.6355E+14,1.79E+23,7.6355E+17,1.79E+29,7.6355E+20,1.79E+35,7.6355E+23,1.79E+41,7.6355E+26,1.79E+47,7.6355E+29,1.79E+53,7.6355E+32,1.79E+59,7.6355E+35,1.79E+65,7.6355E+38,1.79E+71,7.6355E+41,1.79E+77,7.6355E+44,1.79E+83,7.6355E+47,1.79E+89,7.6355E+50,1.79E+95,7.6355E+53,1.79E+101,7.6355E+56,1.79E+107
773.62,1.85E-01,773620,1.85E+05,773620000,1.85E+11,7.7362E+11,1.85E+17,7.7362E+14,1.85E+23,7.7362E+17,1.85E+29,7.7362E+20,1.85E+35,7.7362E+23,1.85E+41,7.7362E+26,1.85E+47,7.7362E+29,1.85E+53,7.7362E+32,1.85E+59,7.7362E+35,1.85E+65,7.7362E+38,1.85E+71,7.7362E+41,1.85E+77,7.7362E+44,1.85E+83,7.7362E+47,1.85E+89,7.7362E+50,1.85E+95,7.7362E+53,1.85E+101,7.7362E+56,1.85E+107
783.39,1.91E-01,783390,1.91E+05,783390000,1.91E+11,7.8339E+11,1.91E+17,7.8339E+14,1.91E+23,7.8339E+17,1.91E+29,7.8339E+20,1.91E+35,7.8339E+23,1.91E+41,7.8339E+26,1.91E+47,7.8339E+29,1.91E+53,7.8339E+32,1.91E+59,7.8339E+35,1.91E+65,7.8339E+38,1.91E+71,7.8339E+41,1.91E+77,7.8339E+44,1.91E+83,7.8339E+47,1.91E+89,7.8339E+50,1.91E+95,7.8339E+53,1.91E+101,7.8339E+56,1.91E+107
793.46,1.97E-01,793460,1.97E+05,793460000,1.97E+11,7.9346E+11,1.97E+17,7.9346E+14,1.97E+23,7.9346E+17,1.97E+29,7.9346E+20,1.97E+35,7.9346E+23,1.97E+41,7.9346E+26,1.97E+47,7.9346E+29,1.97E+53,7.9346E+32,1.97E+59,7.9346E+35,1.97E+65,7.9346E+38,1.97E+71,7.9346E+41,1.97E+77,7.9346E+44,1.97E+83,7.9346E+47,1.97E+89,7.9346E+50,1.97E+95,7.9346E+53,1.97E+101,7.9346E+56,1.97E+107
803.53,2.04E-01,803530,2.04E+05,803530000,2.04E+11,8.0353E+11,2.04E+17,8.0353E+14,2.04E+23,8.0353E+17,2.04E+29,8.0353E+20,2.04E+35,8.0353E+23,2.04E+41,8.0353E+26,2.04E+47,8.0353E+29,2.04E+53,8.0353E+32,2.04E+59,8.0353E+35,2.04E+65,8.0353E+38,2.04E+71,8.0353E+41,2.04E+77,8.0353E+44,2.04E+83,8.0353E+47,2.04E+89,8.0353E+50,2.04E+95,8.0353E+53,2.04E+101,8.0353E+56,2.04E+107
813.29,2.12E-01,813290,2.12E+05,813290000,2.12E+11,8.1329E+11,2.12E+17,8.1329E+14,2.12E+23,8.1329E+17,2.12E+29,8.1329E+20,2.12E+35,8.1329E+23,2.12E+41,8.1329E+26,2.12E+47,8.1329E+29,2.12E+53,8.1329E+32,2.12E+59,8.1329E+35,2.12E+65,8.1329E+38,2.12E+71,8.1329E+41,2.12E+77,8.1329E+44,2.12E+83,8.1329E+47,2.12E+89,8.1329E+50,2.12E+95,8.1329E+53,2.12E+101,8.1329E+56,2.12E+107
823.36,2.19E-01,823360,2.19E+05,823360000,2.19E+11,8.2336E+11,2.19E+17,8.2336E+14,2.19E+23,8.2336E+17,2.19E+29,8.2336E+20,2.19E+35,8.2336E+23,2.19E+41,8.2336E+26,2.19E+47,8.2336E+29,2.19E+53,8.2336E+32,2.19E+59,8.2336E+35,2.19E+65,8.2336E+38,2.19E+71,8.2336E+41,2.19E+77,8.2336E+44,2.19E+83,8.2336E+47,2.19E+89,8.2336E+50,2.19E+95,8.2336E+53,2.19E+101,8.2336E+56,2.19E+107
833.44,2.27E-01,833440,2.27E+05,833440000,2.27E+11,8.3344E+11,2.27E+17,8.3344E+14,2.27E+23,8.3344E+17,2.27E+29,8.3344E+20,2.27E+35,8.3344E+23,2.27E+41,8.3344E+26,2.27E+47,8.3344E+29,2.27E+53,8.3344E+32,2.27E+59,8.3344E+35,2.27E+65,8.3344E+38,2.27E+71,8.3344E+41,2.27E+77,8.3344E+44,2.27E+83,8.3344E+47,2.27E+89,8.3344E+50,2.27E+95,8.3344E+53,2.27E+101,8.3344E+56,2.27E+107
843.2,2.36E-01,843200,2.36E+05,843200000,2.36E+11,8.432E+11,2.36E+17,8.432E+14,2.36E+23,8.432E+17,2.36E+29,8.432E+20,2.36E+35,8.432E+23,2.36E+41,8.432E+26,2.36E+47,8.432E+29,2.36E+53,8.432E+32,2.36E+59,8.432E+35,2.36E+65,8.432E+38,2.36E+71,8.432E+41,2.36E+77,8.432E+44,2.36E+83,8.432E+47,2.36E+89,8.432E+50,2.36E+95,8.432E+53,2.36E+101,8.432E+56,2.36E+107
853.27,2.45E-01,853270,2.45E+05,853270000,2.45E+11,8.5327E+11,2.45E+17,8.5327E+14,2.45E+23,8.5327E+17,2.45E+29,8.5327E+20,2.45E+35,8.5327E+23,2.45E+41,8.5327E+26,2.45E+47,8.5327E+29,2.45E+53,8.5327E+32,2.45E+59,8.5327E+35,2.45E+65,8.5327E+38,2.45E+71,8.5327E+41,2.45E+77,8.5327E+44,2.45E+83,8.5327E+47,2.45E+89,8.5327E+50,2.45E+95,8.5327E+53,2.45E+101,8.5327E+56,2.45E+107
863.04,2.56E-01,863040,2.56E+05,863040000,2.56E+11,8.6304E+11,2.56E+17,8.6304E+14,2.56E+23,8.6304E+17,2.56E+29,8.6304E+20,2.56E+35,8.6304E+23,2.56E+41,8.6304E+26,2.56E+47,8.6304E+29,2.56E+53,8.6304E+32,2.56E+59,8.6304E+35,2.56E+65,8.6304E+38,2.56E+71,8.6304E+41,2.56E+77,8.6304E+44,2.56E+83,8.6304E+47,2.56E+89,8.6304E+50,2.56E+95,8.6304E+53,2.56E+101,8.6304E+56,2.56E+107
873.11,2.68E-01,873110,2.68E+05,873110000,2.68E+11,8.7311E+11,2.68E+17,8.7311E+14,2.68E+23,8.7311E+17,2.68E+29,8.7311E+20,2.68E+35,8.7311E+23,2.68E+41,8.7311E+26,2.68E+47,8.7311E+29,2.68E+53,8.7311E+32,2.68E+59,8.7311E+35,2.68E+65,8.7311E+38,2.68E+71,8.7311E+41,2.68E+77,8.7311E+44,2.68E+83,8.7311E+47,2.68E+89,8.7311E+50,2.68E+95,8.7311E+53,2.68E+101,8.7311E+56,2.68E+107
883.18,2.81E-01,883180,2.81E+05,883180000,2.81E+11,8.8318E+11,2.81E+17,8.8318E+14,2.81E+23,8.8318E+17,2.81E+29,8.8318E+20,2.81E+35,8.8318E+23,2.81E+41,8.8318E+26,2.81E+47,8.8318E+29,2.81E+53,8.8318E+32,2.81E+59,8.8318E+35,2.81E+65,8.8318E+38,2.81E+71,8.8318E+41,2.81E+77,8.8318E+44,2.81E+83,8.8318E+47,2.81E+89,8.8318E+50,2.81E+95,8.8318E+53,2.81E+101,8.8318E+56,2.81E+107
893.25,2.96E-01,893250,2.96E+05,893250000,2.96E+11,8.9325E+11,2.96E+17,8.9325E+14,2.96E+23,8.9325E+17,2.96E+29,8.9325E+20,2.96E+35,8.9325E+23,2.96E+41,8.9325E+26,2.96E+47,8.9325E+29,2.96E+53,8.9325E+32,2.96E+59,8.9325E+35,2.96E+65,8.9325E+38,2.96E+71,8.9325E+41,2.96E+77,8.9325E+44,2.96E+83,8.9325E+47,2.96E+89,8.9325E+50,2.96E+95,8.9325E+53,2.96E+101,8.9325E+56,2.96E+107
903.02,3.10E-01,903020,3.10E+05,903020000,3.10E+11,9.0302E+11,3.10E+17,9.0302E+14,3.10E+23,9.0302E+17,3.10E+29,9.0302E+20,3.10E+35,9.0302E+23,3.10E+41,9.0302E+26,3.10E+47,9.0302E+29,3.10E+53,9.0302E+32,3.10E+59,9.0302E+35,3.10E+65,9.0302E+38,3.10E+71,9.0302E+41,3.10E+77,9.0302E+44,3.10E+83,9.0302E+47,3.10E+89,9.0302E+50,3.10E+95,9.0302E+53,3.10E+101,9.0302E+56,3.10E+107
913.09,3.26E-01,913090,3.26E+05,913090000,3.26E+11,9.1309E+11,3.26E+17,9.1309E+14,3.26E+23,9.1309E+17,3.26E+29,9.1309E+20,3.26E+35,9.1309E+23,3.26E+41,9.1309E+26,3.26E+47,9.1309E+29,3.26E+53,9.1309E+32,3.26E+59,9.1309E+35,3.26E+65,9.1309E+38,3.26E+71,9.1309E+41,3.26E+77,9.1309E+44,3.26E+83,9.1309E+47,3.26E+89,9.1309E+50,3.26E+95,9.1309E+53,3.26E+101,9.1309E+56,3.26E+107
923.16,3.44E-01,923160,3.44E+05,923160000,3.44E+11,9.2316E+11,3.44E+17,9.2316E+14,3.44E+23,9.2316E+17,3.44E+29,9.2316E+20,3.44E+35,9.2316E+23,3.44E+41,9.2316E+26,3.44E+47,9.2316E+29,3.44E+53,9.2316E+32,3.44E+59,9.2316E+35,3.44E+65,9.2316E+38,3.44E+71,9.2316E+41,3.44E+77,9.2316E+44,3.44E+83,9.2316E+47,3.44E+89,9.2316E+50,3.44E+95,9.2316E+53,3.44E+101,9.2316E+56,3.44E+107
932.92,3.62E-01,932920,3.62E+05,932920000,3.62E+11,9.3292E+11,3.62E+17,9.3292E+14,3.62E+23,9.3292E+17,3.62E+29,9.3292E+20,3.62E+35,9.3292E+23,3.62E+41,9.3292E+26,3.62E+47,9.3292E+29,3.62E+53,9.3292E+32,3.62E+59,9.3292E+35,3.62E+65,9.3292E+38,3.62E+71,9.3292E+41,3.62E+77,9.3292E+44,3.62E+83,9.3292E+47,3.62E+89,9.3292E+50,3.62E+95,9.3292E+53,3.62E+101,9.3292E+56,3.62E+107
942.99,3.82E-01,942990,3.82E+05,942990000,3.82E+11,9.4299E+11,3.82E+17,9.4299E+14,3.82E+23,9.4299E+17,3.82E+29,9.4299E+20,3.82E+35,9.4299E+23,3.82E+41,9.4299E+26,3.82E+47,9.4299E+29,3.82E+53,9.4299E+32,3.82E+59,9.4299E+35,3.82E+65,9.4299E+38,3.82E+71,9.4299E+41,3.82E+77,9.4299E+44,3.82E+83,9.4299E+47,3.82E+89,9.4299E+50,3.82E+95,9.4299E+53,3.82E+101,9.4299E+56,3.82E+107
952.76,4.03E-01,952760,4.03E+05,952760000,4.03E+11,9.5276E+11,4.03E+17,9.5276E+14,4.03E+23,9.5276E+17,4.03E+29,9.5276E+20,4.03E+35,9.5276E+23,4.03E+41,9.5276E+26,4.03E+47,9.5276E+29,4.03E+53,9.5276E+32,4.03E+59,9.5276E+35,4.03E+65,9.5276E+38,4.03E+71,9.5276E+41,4.03E+77,9.5276E+44,4.03E+83,9.5276E+47,4.03E+89,9.5276E+50,4.03E+95,9.5276E+53,4.03E+101,9.5276E+56,4.03E+107
962.83,4.22E-01,962830,4.22E+05,962830000,4.22E+11,9.6283E+11,4.22E+17,9.6283E+14,4.22E+23,9.6283E+17,4.22E+29,9.6283E+20,4.22E+35,9.6283E+23,4.22E+41,9.6283E+26,4.22E+47,9.6283E+29,4.22E+53,9.6283E+32,4.22E+59,9.6283E+35,4.22E+65,9.6283E+38,4.22E+71,9.6283E+41,4.22E+77,9.6283E+44,4.22E+83,9.6283E+47,4.22E+89,9.6283E+50,4.22E+95,9.6283E+53,4.22E+101,9.6283E+56,4.22E+107
972.9,4.47E-01,972900,4.47E+05,972900000,4.47E+11,9.729E+11,4.47E+17,9.729E+14,4.47E+23,9.729E+17,4.47E+29,9.729E+20,4.47E+35,9.729E+23,4.47E+41,9.729E+26,4.47E+47,9.729E+29,4.47E+53,9.729E+32,4.47E+59,9.729E+35,4.47E+65,9.729E+38,4.47E+71,9.729E+41,4.47E+77,9.729E+44,4.47E+83,9.729E+47,4.47E+89,9.729E+50,4.47E+95,9.729E+53,4.47E+101,9.729E+56,4.47E+107
982.97,4.71E-01,982970,4.71E+05,982970000,4.71E+11,9.8297E+11,4.71E+17,9.8297E+14,4.71E+23,9.8297E+17,4.71E+29,9.8297E+20,4.71E+35,9.8297E+23,4.71E+41,9.8297E+26,4.71E+47,9.8297E+29,4.71E+53,9.8297E+32,4.71E+59,9.8297E+35,4.71E+65,9.8297E+38,4.71E+71,9.8297E+41,4.71E+77,9.8297E+44,4.71E+83,9.8297E+47,4.71E+89,9.8297E+50,4.71E+95,9.8297E+53,4.71E+101,9.8297E+56,4.71E+107
992.74,4.96E-01,992740,4.96E+05,992740000,4.96E+11,9.9274E+11,4.96E+17,9.9274E+14,4.96E+23,9.9274E+17,4.96E+29,9.9274E+20,4.96E+35,9.9274E+23,4.96E+41,9.9274E+26,4.96E+47,9.9274E+29,4.96E+53,9.9274E+32,4.96E+59,9.9274E+35,4.96E+65,9.9274E+38,4.96E+71,9.9274E+41,4.96E+77,9.9274E+44,4.96E+83,9.9274E+47,4.96E+89,9.9274E+50,4.96E+95,9.9274E+53,4.96E+101,9.9274E+56,4.96E+107
